Date ,Year,Name ,Caption ,URL 
1-Jan,2012,Galaxy Leo IV,"Leo IV is one of more than a dozen ultra-faint dwarf galaxies near the Milky Way. These galaxies are dominated by dark matter, an invisible substance that makes up most of the universe's mass.",https://hubblesite.org/contents/media/images/2012/26/3054-Image.html
2-Jan,2005,Galaxy Cluster SDSS J1004+4112,"This picture captures a galaxy cluster called SDSS J1004+4112 that's so massive that its gravity bends light from galaxies behind it. The light of a distant quasar (the brilliant core of an active galaxy) has been bent around the cluster, appearing in five places in this image.",https://hubblesite.org/contents/media/images/2006/23/1929-Image.html
3-Jan,2017,NGC 4302 and NGC 4298,"This image captures two spiral galaxies. They look quite different because we see them from different angles. The edge-on galaxy (on the left) is called NGC 4302, and the other is NGC 4298. ",https://hubblesite.org/contents/media/images/2017/14/4019-Image.html
4-Jan,1998,Saturn in Infrared,"This false-color image of Saturn captures infrared light reflecting off the planet. The image also captures two of Saturn's moons, Dione in the lower left and Tethys in the upper right.",https://hubblesite.org/contents/media/images/1998/18/659-Image.html
5-Jan,2010,Galaxy NGC 2841,"Young, blue stars and dark lanes of dust trace the winding arms of NGC 2841. Winds from the young stars may have cleared out the gas needed for additional star birth and halted star formation in the spiral galaxy. ",https://hubblesite.org/contents/media/images/2011/06/2821-Image.html
6-Jan,2006,Interacting Galaxies Arp 220,"Arp 220 is the result of a collision between two spiral galaxies that began 700 millions years ago. Located about 250 million light-years from Earth, it is one of the nearest galaxy mergers to our planet. ",https://hubblesite.org/contents/media/images/2008/16/2314-Image.html
7-Jan,2010,Galaxy NGC 2841,"Young, blue stars and dark lanes of dust trace the winding arms of NGC 2841. Winds from the young, super-hot stars may have cleared out the gas needed for additional star birth and halted star formation in the spiral galaxy. ",https://hubblesite.org/contents/media/images/2011/06/2821-Image.html
8-Jan,2007,Galaxy NGC 2976,"This picture shows the inner region of NGC 2976, located roughly 11 million light-years away in the constellation Ursa Major. Despite the lack of well-defined arms visible in this image, NGC 2976 is a spiral galaxy.",https://hubblesite.org/contents/media/images/2010/05/2682-Image.html
9-Jan,2003,Galaxy NGC 1427A,"This image captures NGC 1427A, an irregular dwarf galaxy that is warped by the gravitational influence of its larger galactic neighbors in the Fornax galaxy cluster. ",https://hubblesite.org/contents/media/images/2005/09/1662-Image.html
10-Jan,1998,Galaxy Centaurus A ,"This image captures a turbulent firestorm of star birth along a nearly edge-on dust disk girdling nearby galaxy Centaurus A. Brilliant clusters of young, blue stars lie along the edge of the dark dust lane.",https://hubblesite.org/contents/media/images/1998/14/637-Image.html
11-Jan,2000,Eskimo Nebula,"The Eskimo Nebula contains the glowing remains of a dying Sun-like star. The bright, central region of the Eskimo's ""face"" is material being blown away by the nebula's central star.",https://hubblesite.org/contents/media/images/2000/07/940-Image.html
12-Jan,2011,Andromeda Galaxy,"Over 100 million stars are on display in this portion of the Andromeda galaxy, located over 2 million light-years away. This portrait of our galactic neighbor is the largest image yet assembled by Hubble.",https://hubblesite.org/contents/news-releases/2015/news-2015-02.html
13-Jan,2011,Andromeda Galaxy,"Over 100 million stars are on display in this portion of the Andromeda galaxy, located over 2 million light-years away. This portrait of our galactic neighbor is the largest image yet assembled by Hubble.",https://hubblesite.org/contents/news-releases/2015/news-2015-02.html
14-Jan,2003,Galaxy NGC 2768,"NGC 2768 is an elliptical galaxy located 65 million light-years away in the constellation Ursa Major. The galaxy hosts a supermassive black hole, fueling jets of material in its active center.",https://hubblesite.org/contents/news-releases/2015/news-2015-28.html
15-Jan,2006,Galaxy NGC 4710,"The magnificent galaxy NGC 4710 is tilted nearly edge-on to our view from Earth. This perspective allows the central bulge of stars to be easily distinguished from the galaxy's pancake-flat disk of stars, dust and gas.",https://hubblesite.org/contents/media/images/2009/30/2643-Image.html
